indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Gastric Cancer,PHASE4,2,1,0.0,0.0,-0.05,0.05,False
Renal Cell Carcinoma,PHASE1,15,11,4.0,0.36363636363636365,0.31363636363636366,0.41363636363636364,False
Extensive Stage Lung Small Cell Carcinoma,UNKNOWN,1,0,0.0,,,,True
Tyrosine Kinase Inhibitor,PHASE2,1,0,0.0,,,,True
Extensive Stage Lung Small Cell Carcinoma,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Lip and Oral Cavity Cancer,PHASE2,5,5,5.0,1.0,0.95,1.05,False
"Pain, Postoperative",PHASE3,1,1,1.0,1.0,0.95,1.05,False
Esophageal Squamous Cell Carcinoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
"Pain, Postoperative",UNKNOWN,1,0,0.0,,,,True
Thoracic Neoplasm,PHASE3,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Oropharyngeal Cancer,PHASE1,6,4,1.0,0.25,0.2,0.3,False
T-cell acute lymphoblastic leukemia,PHASE3,1,0,0.0,,,,True
Central Nervous System Neoplasm,PHASE2,7,7,4.0,0.5714285714285714,0.5214285714285714,0.6214285714285714,False
Neuroendocrine Carcinoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Thalassemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Untreated Childhood Supratentorial Primitive Neuroectodermal Tumor,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Breast Paget Disease,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Stage I Adult Diffuse Mixed Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Stage III Adult Diffuse Mixed Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Actinic Keratosis,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Inherited Metabolic Disease,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Break Through Pain,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Kidney Disease,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Primary Myelofibrosis,PHASE1,1,0,0.0,,,,True
Respiratory Tract Diseases,PHASE1,1,0,0.0,,,,True
"Anemia, Aplastic",PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage III Adult Diffuse Large Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Waldenstrom Macroglobulinemia,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Lymphoepithelioma of the Oropharynx,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Thyroid Gland Medullary Carcinoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Fallopian Tube Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Infectious Disorder,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Thoracic Neoplasm,PHASE2,17,10,4.0,0.4,0.35000000000000003,0.45,False
